Singer,Lyrics
박재범,"Girl 말해줘 네 마음 바로 지금
Baby 같이 올라가자 하늘 위로
All I wanna do is kick it with you
너의 몸매 그린 것만 같아 미술
오늘 의상처럼 네 마음도 씨쓰루
All I wanna do is kick it with you
Girl 뭐가 중요한지 baby 바로 말해줄게
나 지금 5천만원짜리 시계 찼지만
나는 너를 훨씬 아끼지 babe
네가 원한다면 안 찰게
허세 따위는 안 통하니까
넌 정말 신기한 여자
나를 노력하게 만드니까 baby oh yeah
우리 둘의 밤을 상상했어 girl all night
몸에 타투를 보여줘 If it's alright
Girl 말해줘 네 마음 바로 지금
Baby 같이 올라가자 하늘 위로
All I wanna do is kick it with you
너의 몸매 그린 것만 같아 미술
오늘 의상처럼 네 마음도 씨쓰루
All I wanna do is kick it with you
어떡해 내 맘에 네가 들어오려 해
쉽게 빠질까 봐 위험해 보여 조심하려 할 때
움직여지지 않아 날 보는 네 시선이 내 몸을 감아
하나로 얽혀 너와 나
이제부턴 아무도 풀지 못해
뻔하지 않게 우연같이 만나 baby
서로에게 녹아들어
오늘밤 우리 기분은 저 하늘 구름 위
네 몸에 타투를 보여줘 이미 내 맘은 준비되어있어
Boy 말할게 내 마음 바로 지금
그래 같이 올라가자 하늘 위로
All I wanna do is kick it with you
네가 원한대로 내 대답은 Me too
이제부터 널 부르게 해줘 My boo
All I wanna do is kick it with you
내가 하고 싶은 모든 것 뒤엔
'너와 함께'가 생략 되어 있지
요즘 인기 많은 교포오빠들과는 달라
김치 향기가 배어있지
덕분에 난 몰아 호랑이
택 달린 옷은 방에 쌓여가고 있어
밤에 입어 편하게
이젠 너는 나 나는 너로 구분 짓고
ALL I WANNA DO 라고 말해 편하게
너의 옆자리를 상상할 거고
그곳에는 내가 있게 될 거야
그리고 너에 대해 장담하건대
뭐든 할 수 있을 거라고 믿게 될 거야
Girl 말해줘 네 마음 바로 지금
Baby 같이 올라가자 하늘 위로
All I wanna do is kick it with you
너의 몸매 그린 것만 같아 미술
오늘 의상처럼 네 마음도 씨쓰루
All I wanna do is kick it with you
Oh baby 너무 좋아서 You're driving me crazy
니 생각만해도 기분이 좋아
기분이 좋아 기분이 좋아 Na Na Na Na Na Na
이 느낌 너만 느끼게 할 수 있는 느낌
난 죽을때까지 느끼고 싶어
내 곁에 있어줘 아낄 수 있어 아낄 수 있어
언제나 너만 바라봐
나도 모르게 괜히 웃음이 나와
Oh baby baby baby baby
난 크게 소리 외치고 싶어
좋아 니 모든 것이 좋아
머리부터 발끝까지도
조그만 행동까지 하나 하나
다 좋아 니 모든 것이 좋아
너와 함께라면 즐거워
시간이 지날수록 더 좋아져
난 니가 필요해
매일같이 있게 해달라고 난 기도해
나 오직 너만이와 행복하게 살수가 있어
Break it down now
Come on no no
Ay girl 너와 함께면 하루하루가 너무 특별해
Stay with me forever and ever baby please
And girl 우리가 운명 아니어도
난 무조건 너야
You know that I got you
You know that I love you
I'll always be with you baby
언제나 너만 바라봐
나도 모르게 괜히 웃음이 나와
Oh baby baby baby baby
난 크게 소리 외치고 싶어
좋아 니 모든 것이 좋아
머리부터 발끝까지도
조그만 행동까지 하나 하나
다 좋아 니 모든 것이 좋아
너와 함께라면 즐거워
시간이 지날수록 더 좋아져
난 니가 필요해
매일같이 있게 달라고 난 기도해
나 오직 너만이와 행복하게 살수가 있어
난 절대로 떨어지기 싫어
너를 보고 있어도 너무 보고 싶은걸
내 곁에 항상 있어줘 My girl
I want you and I need you don't ever ever leave my side
좋아 니 모든 것이 좋아
머리부터 발끝까지도
조그만 행동까지 하나 하나
다 좋아 니 모든 것이 좋아
너와 함께라면 즐거워
시간이 지날수록 더 좋아져
난 니가 필요해
매일같이 있게 달라고 난 기도해
나 오직 너만이와 행복하게 살수가 있어 
투명한 바닷가에 빠지고 싶어
요트 살게 올라타 파도가 느껴져
무인도로 떠나자 딴 거 필요 없어
수영복도 챙겨와 Baby Let's fall in love
I be like
You're my dope I'm so high
Baby work girl work like Rihanna
같이 추억을 만들자
This a song I wrote just for my baby
Baby 가로수길 가지 마
혼자 청담동도 가지 마
잘생긴 남자들이 쳐다봐
외제 차 끌면 도망가
But Oh no 절대 뺏길 수가 없지
걔넨 길쭉해도 따라올 수 없지
매력 터져 swagger 넘쳐 one and only
아니어도 나를 그렇게 봐줘 my baby yeah
같이 가자 여기저기
푸껫 바닷속에 스쿠버다이빙
햇볕 아래 같이 커플 태닝
매일 휴가같이 보내 girl yeah
투명한 바닷가에 빠지고 싶어
요트 살게 올라타 파도가 느껴져
무인도로 떠나자 딴 거 필요 없어
수영복도 챙겨와 Baby Let's fall in love
I be like
You're my dope I'm so high
Baby work girl work like Rihanna
같이 추억을 만들자
This a song I wrote just for my baby
Just for my baby
Just for my baby
Hit me up baby on the Kakao baby
Gimme good lovin we can get down baby
Get down baby
비키니 입은 네 모습 보면 너무 설레네
Yeah girl yeah girl I be surfing ur waves
마가리타 한 잔 들고
보름달을 바라보며 입을 맞춰
우리 둘이 Baby just you and me
해가 지고 나서부터 뜰 때까지
It's a party just for you
샴페인 한 병 터뜨리고
너의 스트레스와 피로 해소해 girl just us two
투명한 바닷가에 빠지고 싶어
요트 살게 올라타 파도가 느껴져
무인도로 떠나자 딴 거 필요 없어
수영복도 챙겨와 Baby Let's fall in love
I be like
You're my dope I'm so high
Baby work girl work like Rihanna
같이 추억을 만들자
This a song I wrote just for my baby
하얀 모래 위에 너가 너무 예뻐
네 머릿결엔 파도가 치고 있어
햇살은 따뜻하게 야자수들 잎 사이로 너를 비추고
너 때문에 눈이 부셔 난 미간을 찌푸렸어
비키니 광고가 들어오겠네 너의 몸매는
다 쳐다봐 나는 너를 혼내
미안해 입고 싶은 걸 못 입게 해서
뭐 어쩌겠어
Woo baby baby now 호텔로 들어가
침대 위에 입고 싶은 비키니를 늘어놔
하나씩 갈아입어 사진을 찍어줄게
한 장씩 벗어둬
What we waitin for right now
투명한 바닷가에 빠지고 싶어
요트 살게 올라타 파도가 느껴져
무인도로 떠나자 딴 거 필요 없어
수영복도 챙겨와 Baby Let's fall in love
I be like
You're my dope I'm so high
Baby work girl work like Rihanna
같이 추억을 만들자
This a song I wrote just for my baby"
호미들,"울려댔어 사이렌
텅 빈 길거리엔
도망치다 흘린 칼자루와 피가 흥건해
우리 그때 어릴땐
뭘 몰랐었지 man
그냥 힘쎈 형이 제일로 멋졌었지 그땐
그래 우린 살아나왔어 지옥
이제 어딜가든 다 비옥
수도 없이 맛본 치욕
어릴때부터 입에 붙은 쌍욕
절대 할 수 없었지 신고
할 수 있는게 오직 기도
어떻게 느끼겠어 피곤
붉게 물들지 않을려 내 흰옷
침대가 없어서 엄마랑 잤어
매일 밤마다 우는 소리가 들려
난 대체 뭘 해야 하는지 몰라서
그냥 계속했어 자는 척
떨면서 BBQ 치킨을 시켰어
엄마는 우리를 속였어
고작 15000원 때문에
엄마 내가 돈 어떻게든 벌어올게
이제 남몰래 눈물 흘리지 않아도 돼
내 몸 하나 불살라서라도 꺼내줄게
난 그 모습 다시 실눈 뜨고 볼 순 없기에
울려댔어 사이렌
텅 빈 길거리엔
도망치다 흘린 칼자루와 피가 흥건해
우리 그때 어릴땐
뭘 몰랐었지 man
그냥 힘쎈 형이 제일로 멋졌었지 그땐
그래 우린 살아나왔어 지옥
이제 어딜가든 다 비옥
수도 없이 맛본 치욕
어릴때부터 입에 붙은 쌍욕
절대 할 수 없었지 신고
할 수 있는게 오직 기도
어떻게 느끼겠어 피곤
붉게 물들지 않을려 내 흰옷
여기서 더 있다간 감방이 내 방
종신형이 친구 책가방 안에
어린 내가 짝사랑하던 그 여잔
이 block에서 지금 몸 팔아
새꺄 this real life
김치 냄새 땜에 놀려대길래
도시락통을 닫아
That's real life
그런 날 보고 지 점심을 나눠준
꼬마가 있었어
That's real life
어느 날 관 속에
그 친구의 얼굴을 만지게 됐어
That's
울려댔어 사이렌
텅 빈 길거리엔
도망치다 흘린 칼자루와 피가 흥건해
우리 그때 어릴땐
뭘 몰랐었지 man
그냥 힘쎈 형이 제일로 멋졌었지 그땐
그래 우린 살아나왔어 지옥
이제 어딜가든 다 비옥
수도 없이 맛본 치욕
어릴때부터 입에 붙은 쌍욕
절대 할 수 없었지 신고
할 수 있는게 오직 기도
어떻게 느끼겠어 피곤
붉게 물들지 않을려 내 흰옷 
꽉 쥔 주먹 속엔 라이터
언젠가 비춰주겠지 내 밤
하나 하나 둘 on 다이얼
뒤가 무서워 못누르던 아이
이젠 커진 나의 라인업
여기 많은 사람들 중 난 앞
No cap i'm not fuckin liar
이제 모두다 따라해 내말
거울에는 지방가득한 fat boy
이젠 슬슬 나의 목살은 냉동
칼은 차고 다녀도 i'm not gangster
다 알자나 우리 출신은 ghetto
내 동네 사람들은 믿어 날 uh
Now 금고엔 guap uh
또 꼼꼼히 locked up
꿈이 아닌 밤 uh
주변은 언제나 취해있어
그 사이의 유일한 chaser
알잖아 내 출신은 ghetto
시작은 밀폐
된 곳서 밤새 작업해
한방을 노린거지 lotto
전리품을 나눠
소원은 배불러
라고 저절로 말하길 바라던
놈들은 다 check
내가 다 pay
남들은 오해해 당첨돼 lotto?
지친 쟤는 감기게 냅둬
기지개는 다 끝내고 hands up
움직여 when everyone say no
호미들 언제나 okay go
밥그릇엔 늘 붙는 개털
넘치기 직전인 내 재떨이
생일땐 사 먹었던 생선
지금은 호미들 다 airport
꽉 쥔 주먹 속엔 라이터
언젠가 비춰주겠지 내 밤
하나 하나 둘 on 다이얼
뒤가 무서워 못누르던 아이
이젠 커진 나의 라인업
여기 많은 사람들중 난 앞
No cap i'm not fuckin liar
이제 모두다 따라해 내말
항상 mp3엔 notorious
덕에 더욱 더 늘린 내 바지통
우리엄마 통장은 마이너스
때문에 난 항상 강제 다이어트
그때는 나의 삶 자체가 문제
깡패들 밖에없었던 내 동네
영웅은 없기에 악당을 숭배
그랬던 날 상진이가 구제
나는 가난했었기에 돈이 좋아
달리 편안하게 자란 너넨 몰라
사실 알면서 다 익숙함에 속아
그 시간은 뒷통수를 치고 도망
목에 피가 나더라도 do my shit
돈을 못 벌어도 do my shit
안궁금해 오늘의 날씨
i will succeed and stack my chips
나는 돈을 젠가하듯이 쌓을꺼고
내 손목엔 made in the north pole
인스타에서 보던 성형한 몸매 좋은 미인들은
이제 나의 파트너
콩자반에 밥만 먹었던 우리는 곧 뜯게 될꺼야
랍스터
그동안 가난 을 기록한 내 가사는 이제
성공에 대한 참고서
꽉 쥔 주먹 속엔 라이터
언젠가 비춰주겠지 내 밤
하나 하나 둘 on 다이얼
뒤가 무서워 못누르던 아이
이젠 커진 나의 라인업
여기 많은 사람들중 난 앞
No cap i'm not fuckin liar
이제 모두다 따라해 내말
거울에는 지방가득한 fat boy
이젠 슬슬 나의 목살은 냉동
칼은 차고 다녀도 i'm not gangster
다 알자나 우리 출신은 ghetto
내 동네 사람들은 믿어 날 uh
Now 금고엔 guap uh
또 꼼꼼히 locked up
꿈이 아닌 밤 uh 
햇빛을 보고싶던 소년의 텅빈 뱃속
그래 그 놈을 생각하면 하난 컷지 배포
돈 돈 돈 내 유년시절부터 쫓아왔지 계속
지금 주소 한단계씩 앞서가고 있고
울면서 기도하며 손댔던 그 십일조
그렇게 벗어나고 싶어했었어 빈민촌
그래 그때부터 되야했지 존나 미친놈
독기를 품었지 난 꼭 성공한다 기필코
너무 많이 봤던 피
다신 안봐
이젠 내려야되 비
많은 위미로다가
너무나도 길고 긴
지하 밑바닥 삶
까지 다 갚아줄 benz on
다 이뤄질 내 기도
넘긴 보릿고개
이젠 올챙이배
너무 많은 고생
이제 모두 손떼
암보다 무서웠던 빈곤
배고프면 자
이게 10대때의 기록
잠 안오던 밤
넘긴 보릿고개
이젠 올챙이배
너무 많은 고생
이제 모두 손떼
암보다 무서웠던 빈곤
배고프면 자
이게 10대때의 기록
잠 안오던 밤
많이 아팠었지 눈을 감는것이 save me
엄마 옷은 바뀌지가 않더라고 매일이
엄마이기 그전에 그녀역시도 lady
평생 몰랐으면해 그 비지찌개 레시피
Sorry babe i need pain
아직 끝을 못본 lotto
자길 쫓아가기 높기만해 우리가 잡은 목표
I go crazy for my game
돈냄새를 쫓아 코로
우린 한방에 박아 like 세리자와 hoodkids ghetto
i just popin like a talkin
자랑하지 post it
꽉낀바지 내려입지
그게 우리 방식
이 새낀 맘만 바꿔
먹고 피 흘리게 살지
쫄쫄 굶던 놈이
몸에 둘러붙는 사치
집에 파리 새낀 갔지
주문해둬 b.d watch
윤택해져 우리 삶이
시승 마세라티
난 죽어도 먹다가 뒤진
귀신할거니
저 거울을 보면 흠 피식
이 돼진 뭐지
넘긴 보릿고개
이젠 올챙이배
너무 많은 고생
이제 모두 손떼
암보다 무서웠던 빈곤
배고프면 자
이게 10대때의 기록
잠 안오던 밤
넘긴 보릿고개
이젠 올챙이배
너무 많은 고생
이제 모두 손떼
암보다 무서웠던 빈곤
배고프면 자
이게 10대때의 기록
잠 안오던 밤
너는 아니였잖아 나랑 같이 굶던 친구
빵하나 훔쳐도 걍 넘어가는 내 신분
모두 나를 싫어했지 주변동네 이웃
but 불평한적없어 내엄마아빠 핏줄
내가 돈없을 때 너넨 부모님께 심술
교육받진 못했지만 더올려 내 eq
거지가 부자되잖게 고작 우리의 이유
돈벌어서 자랑하는게 우리의 임무
밥은 최대한 굶고서
i've been smoking all day
어느새 내 폐속은 검보라색
돈이 부족했던건 엊그저께
엄마 이제는 불러 청소업체
난원해 누구보다도 더
질릴정도에 돈
번쩍거리는 다이아몬드
난 돈에 깔려 뒤져
난 돈에 깔려 뒤져
넘긴 보릿고개
이젠 올챙이배
너무 많은 고생
이제 모두 손떼
암보다 무서웠던 빈곤
배고프면 자
이게 10대때의 기록
잠 안오던 밤
넘긴 보릿고개
이젠 올챙이배
너무 많은 고생
이제 모두 손떼
암보다 무서웠던 빈곤
배고프면 자
이게 10대때의 기록
잠 안오던 밤"
빈지노,"오늘 밤이 만약 내게 주어진 
대충 입고 나와 시간이 너무 아까워
너와 내 하룬 왜 남들보다 훨씬 짧어
우린 다투지 말자 시간 낭비니까
너를 만나는 하루는 그닥 안 기니까
이정도 만났으면 날 잘 알테니까
괜히 나를 밀거나 당기지마
내 전공은 너 화를 삭히지마
일단 말만 해 나는 박사니까
불난채로 친구를 만나지마
너의 친구들은 부채질을 할테니까
이 밤이 지나면 우린 또 집에 가고
또 어떤 때는 일이 너무 바뻐
학업이 우리 둘을 막거나 막 떠난
버스 탓에 어쩔때 넌 나없이 기다려
우리 청춘은 한없이 웃기도 빡세서
가만히 안기보단 너를 꽉 안겠어
Now let's love like we just made each other
난 방금 네게 반했어
대충 입고 나와 시간이 너무 아까워
너와 내 하룬 왜 남들보다 훨씬 짧어
대충 입고 나와 시간이 너무 아까워
너와 내 하룬 왜 남들보다 더 훨씬 짧어
시간은 공짜야 It's the free coupon
쉴틈 없이 써도 남아있는걸 내가 왜 아끼겠어 뭐하러
지혜로운 너가 날 좀 도와줘
호화로울 것 같던 시간도 얼마 못가서
우리 둘이 쓰기도 턱없이 모잘러
네 말대로 신이 모든걸 줬다면
너의 통금을 없애는게 욕심인가요?
Aey Man, 영원한 건 없어
시간은 흐르고 너만한건 없어
천천히 떨어지는 듯한
시침도 다시 보니까 무슨 폭포같어
ah..넌 내일이 있으니 괜찮대
허나 내일도 역시 언젠간 어제가 되니까
Let's not waste time anymore
정해봐 뭐할지 이 노래 끝내면
대충 입고 나와 시간이 너무 아까워
너와 내 하룬 왜 남들보다 훨씬 짧어
대충 입고 나와 시간이 너무 아까워
너와 내 하룬 왜 남들보다 더 훨씬 짧어
Check, we can go to the movie, go to the club
if you want it, we can grab a bottle of bud
We can go to the ocean
summer time breeze, time's all we need
we can go to the uh, go to the uh
we can go to the uh, go to the uh
we can go to the uh, go to the uh
we can go anywhere, time's all we need
대충 입고 나와 시간이 너무 아까워
너와 내 하룬 왜 남들보다 훨씬 짧어
대충 입고 나와 시간이 너무 아까워
너와 내 하룬 왜 남들보다 더 훨씬 짧어 
쩌면 내가 좀 더 멍청할지 몰라
너가 먹이처럼 던진 문자 몇 통과
너의 부재중 전화는 날 헷갈리게 하지
너의 미모와 옷 입는 스타일로 미루어 보았을 때
너의 어장의 크기는 수족관의 scale
단지 너 하나 때문에
경쟁은 무척 험하고도 아득해
I wanna be your boy friend not one of your 생선
허나 너에겐 늘 누군가가 옆에 있어
이럴 때일수록 내 이미지를 위해선
그저 쏘 쿨한 척 하는 게 최선
임을 알기에 I said have a good time
그날 밤 업데이트 된 너의 페북의 담벼락엔
여전히 물고기들이 하악 하악
당연히 나도 그 중 하나
하루 종일 너란 바닷속을 항해하는 나는 아쿠아맨
헤엄 헤엄 헤엄
I'm rolling in the deep inside of you 너의 어장은 너무 캄캄해
헤엄 헤엄 헤엄
손에 꼽을 정도로 아주 가끔씩
엉뚱한 시간에 넌 내가 어딘지 묻지
'어디긴 니 마음이지'라는 본심을
속이며 차분하게 말했지 '지금 집'
심상치 않은 징조, 심장은 보다 신속
혹시 모를 급만남이 꿈처럼 이루어
질 수도 있을 것 같은 느낌이 들어
지금 너의 위치가 어디든 let's bring it on girl
통장 잔고는 가까스로 위기모면
입을 옷도 이미 정했어 목걸이는 chrome hearts
but you said, 그런 거 아니고 please don't call me no more
oh no
하루 종일 너란 바닷속을 항해하는 나는 아쿠아맨
헤엄 헤엄 헤엄
I'm rolling in the deep inside of you 너의 어장은 너무 캄캄해
헤엄 헤엄 헤엄
내 가슴은 회처럼 조각이 났지
u don't give a shit about my broken heart
넌 딱 잘라 말했지 손톱깎이 같이
boy , I don't give a shit about your stupid heart
하루 종일 너란 바닷속을 항해하는 나는 아쿠아맨
헤엄 헤엄 헤엄
I'm rolling in the deep inside of you 너의 어장은 너무 캄캄해
헤엄 헤엄 헤엄
bitch you gotta get yo mind right
너의 얼굴과 몸이 영원할까
bitch you gotta get yo mind right
너의 얼굴과 몸이 영원할까
bitch you gotta get yo mind right
너의 얼굴과 몸이 영원할까
bitch you gotta get yo mind right
너의 얼굴과 몸이 영원할까
nah
돛대와 같다면 what should i do with this?
mmmm maybe
지나온 나날들을 시원하게 훑겠지
스물 여섯 컷의 흑백 film
내 머릿속의 스케치
원하든 말든 메모리들이
비 오듯 쏟아지겠지
엄마의 피에 젖어 태어나고 내가 처음 배웠던 언어
부터 낯선 나라 위에 떨어져 별 다른 노력 없이 배웠던 영어
나의 아버지에 대한 혐오와 나의 새 아버지에 대한 나의 존경
갑자기 떠오른 표현, life's like 오렌지색의 터널
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die die die
고개를 45도 기울여
담배 연기와 함께 품은 기억력
추억을 소리처럼 키우면
눈을 감아도 보오이는 theater
시간은 유연하게 휘어져
과거로 스프링처럼 이어져
아주 작고 작았던 미니어쳐
시절을 떠올리는 건 껌처럼 쉬워져
빨주노초 물감을 덜어, 하얀색 종이 위를 총처럼 겨눴던
어린 화가의 경력은 뜬금없게도 힙합에 눈이 멀어
멈춰버렸지만 전혀 두렵지 않았어 cuz I didn't give a fuck
about 남의 시선, cuz life is like, 나 홀로 걸어가는 터널
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die die die
내게도 마지막 호흡이 주어지겠지
마라톤이 끝나면 끈이 끊어지듯이
당연시 여겼던 아침 아홉 시의 해와
음악에 몰두하던 밤들로부터 fade out
말보로와 함께 탄, 내 20대의 생활,
내 생에 마지막 여자와의 애정의 행각
책상 위에 놓인 1800원 짜리 펜과
내가 세상에 내놓은 내 노래가 가진 색깔
까지 모두 다 다시는 못 볼 것 같아
삶이란 게 좀 지겹긴 해도 좋은 건가 봐
엄마, don't worry bout me ma
엄마 입장에서 아들의 죽음은 도둑 같겠지만
I'll be always in your heart, 영원히
I'll be always in your heart, 할머니
you don't have to miss me, 난 이 노래 안에 있으니까
나의 목소리를 잊지마
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die tomorrow
If I die die die"
지코,"Good morning
하마터면 달 뜰 때까지 쿨쿨쿨 잠잘 뻔
택배 아저씨 초인종 소리에 기상 가까스로
부재중 전화 5통, 잠금 패턴 또 안 맞고
어제 남긴 피자는 맛없어 그냥 이나 닦자
Dazzling dazzling dazzling
세게 뙤약볕 내리쬐
아침형 인간들 진심으로 리스펙
불쾌지수 지붕킥
Please give me some 시금치
움직일 엄두도 안 나
궁시렁거리는 와중에
뭘 입고 나갈지 피팅 중이야
주차장은 또 왜 이리 멀어
발끝에서부터 힘이 쭉 빠져
몇 주째 내비는 먹통인 데다가
에어컨 바람마저 미지근하지
I want to run way
미친 하루를 시작해
우예 차라리
비나 쏟아졌음 좋겠다
It's so freaking hot 땀이 삐질 나
서둘러 찾아야 돼 태양을 피할 방법
가는 곳마다 사람이 꽉 차
서울의 열기는 당최 식을 줄 몰라
I hate this summer day
I hate this summer day
주말이 오기만 기다리는 것도
이제는 오래전 일
땀 흘리며 놀기엔 너무
안 받쳐 줘 체력이
네가 가라 하와이 Sorry
난 바닷물 Allergy
아쉬운 대로 여름 노래
크게 틀고 웹서핑
Exit exit 인터넷 창 열면 더 숨 막혀
무슨 영문인지 모조리 뿔났어
That's not cool, how about you?
일단 냉수 한 잔 쭉
시간 참 더럽게 안 가
애벌레처럼 장판에 붙어
딱 한 겹만 남은 허물을 벗어
몇 년째 솔로 그래서 뭐?
옆구리 시리지 않잖아 전혀
헬게이트 열렸네 활짝
오렌지색 도시는 반짝
참았던 짜증이 왈칵!
다들 애써 즐기는 척
재고 있지 탈주각 Right?
우예 차라리
비나 쏟아졌음 좋겠다
It's so freaking hot 땀이 삐질 나
서둘러 찾아야 돼 태양을 피할 방법
가는 곳마다 사람이 꽉 차
서울의 열기는 당최 식을 줄 몰라
I hate this summer day
I hate this summer day
칠 팔월만 되면 숨이 막혀 Yeah
Mama said 가만있으면 안 덥대
그늘진 곳은 내 얼굴밖에 없네
Is anybody there 사람 살려 (꿱!) 
젊음의 한복판에서
두 남녀가 사는 작은 섬
네 기분이 여기 날씨고
새빨간 열매가 열렸어
조금 낯설었던 맞은편
이제 내가 제일 아끼는 곳
나오기 싫은 이부자리 같아
대체
왜 너여야만 했는지
매일 다른 이유를 말해줄게
형체를 알아보지 못해도
테두리를 함께 그릴 사람
오래 기다렸지 안녕, 나의 소울메이트
모든 게 너다워졌어
투명한 매듭에 묶여
한시도 이곳을 못 떠나
Stuck with each other
큰 소파에 누워 스푼 하나로
장난치며 먹는 아이스크림
손을 포개고
춤을 춰 낮부터 아무런 반주 없이
말풍선이 가득한 둘만의 파티
숨 쉴 때마다 향이 날 수 있어
잠에서 깨는 일도 신날 수 있어
일어나지 않은 일로 질투 날 수 있어
티격태격할 때 많지만 It's fine
These day
각자의 시계를 꺼낸 채
아낌없이 모래알 쏟네 yeah
평생 근사한 날만 준대도
우리한테 돌아갈 마음뿐이야
오래 기다렸지 안녕, 나의 소울메이트
모든 게 너다워졌어
투명한 매듭에 묶여
한시도 이곳을 못 떠나
Love is the true art
표현력이 갈수록 늘어나
넌 날 글 짓고 그림 그리게 해
만나는 순간
어딘가로 계속 여행 다니는 느낌
Oh I'll stay by your side
오래 기다렸지 안녕, 나의 소울메이트
모든 게 너다워졌어
투명한 매듭에 묶여
한시도 이곳을 못 떠나 
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I'm too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥
11년째 freshman
유명세를 걷어
현찰 대신 스펙을 stackin'
Ooh! You're not savage
남의 멋만 쌔비지
난 취향을 감춰 그래
내 세컨 카는 수수께끼
Show and prove의 심볼
넘볼 수 없는 임금
The king is back 뽷!
다시 '코'시국
암만 영끌해도 근본은 절대 못 사
눈팅으로 배운 너의 street fashion
뚜까 패고파
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I'm too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
아마 나는 오늘도 미치게 하겠지 workin'
이유는 뻔하지 새로운 옷이
알어 니 위치는 겉만 하지 마
건방 빌린 게 티 나서 bro
이제 여름이 오니까 준비해
내 목에다 채워질 아이스체인
1234 옷을 세는 것도 지겨워 man
New thang
I love my hates
원해 new chain
우리 엄만 생일마다 새 가방이 생기지
신기록 갱신
우린 없어 배신
나는 매일 새신
Yessir I really came from zero
그래서 2배로 work
책임을 가진 삶은 생각보다 괴로워
언제나 let's go hard
내 옷은 새로워
난 운전할 때마다 맨 앞이라 외로워
안 무셔 drip check 내 옷들은 늘 새삥
아무도 못 말려 나란 바닥노무 쉐낀
멈출 수 없어 난 쌓아야 해 stack
안전모를 썼던
나는 절대 못해 cap
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I'm too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥 모든 게 다 새삥"
