Singer,Lyrics
박재범,투명한 바닷가에 빠지고 싶어
박재범,요트 살게 올라타 파도가 느껴져
박재범,무인도로 떠나자 딴 거 필요 없어
박재범,수영복도 챙겨와 Baby Let's fall in love
박재범,I be like
박재범,You're my dope I'm so high
박재범,Baby work girl work like Rihanna
박재범,같이 추억을 만들자
박재범,This a song I wrote just for my baby
박재범,하얀 모래 위에 너가 너무 예뻐
박재범,네 머릿결엔 파도가 치고 있어
박재범,햇살은 따뜻하게 야자수들 잎 사이로 너를 비추고
박재범,너 때문에 눈이 부셔 난 미간을 찌푸렸어
박재범,비키니 광고가 들어오겠네 너의 몸매는
박재범,다 쳐다봐 나는 너를 혼내
박재범,미안해 입고 싶은 걸 못 입게 해서
박재범,뭐 어쩌겠어
박재범,Woo baby baby now 호텔로 들어가
박재범,침대 위에 입고 싶은 비키니를 늘어놔
박재범,하나씩 갈아입어 사진을 찍어줄게
박재범,한 장씩 벗어둬
박재범,What we waitin for right now
박재범,투명한 바닷가에 빠지고 싶어
박재범,요트 살게 올라타 파도가 느껴져
박재범,무인도로 떠나자 딴 거 필요 없어
박재범,수영복도 챙겨와 Baby Let's fall in love
박재범,I be like
박재범,You're my dope I'm so high
박재범,Baby work girl work like Rihanna
박재범,같이 추억을 만들자
박재범,This a song I wrote just for my baby
박재범,길거리를 걷다 보면
박재범,사랑 노래만 흘러나와
박재범,나는 왜 저런 게 낯설까
박재범,난 한국말까지 서툴러
박재범,번역기도 전혀 도움 안 돼
박재범,네 맘엔 어떨까 걱정만
박재범,어떤 단어를 쓸지 I don't know
박재범,어떤 말을 할지 I don't know
박재범,나는 왜 이런지 I don't know
박재범,You're on my mind
박재범,어떤 단어를 쓸지 I don't know
박재범,어떤 말을 할지 I don't know
박재범,나는 왜 이런지 I don't know
박재범,You're on my mind
박재범,Baby 정말 생각 안 나
박재범,Body language로 자신 있어
박재범,보여줄게 girl just give me some your time
박재범,너를 보면 손에 땀 나
박재범,긴장 풀게 한 번 웃어줘
박재범,Let me take u on a magic carpet ride
박재범,손을 잡아 따라와
박재범,맑은 날씨 보름달
박재범,가르쳐줘 오늘 밤
박재범,가나다라마바사
박재범,손을 잡아 따라와
박재범,맑은 날씨 보름달
박재범,가르쳐줘 오늘 밤
박재범,가나다라마바사
박재범,너무 완벽하지 않아도
박재범,걱정 마 네 맘을 조금 알 것 같아
박재범,네게 좀 더 다가서 볼까
박재범,고민해 매일 밤
박재범,길거리를 걷다 보면
박재범,계속 계속 네 생각이 나
박재범,이런 내 모습이 왜 낯설까
박재범,번역기 위에서
박재범,헤매는 네 손가락까지
박재범,자꾸만 생각이 나는 걸
박재범,Body language도 나는 괜찮아
박재범,But 생각 안 나면 그냥 웃어줘
박재범,모든 것을 알려줄게 오늘 밤
박재범,내가 나쁜 남자처럼 보여도
박재범,너를 볼 때면 맘이 여려져
박재범,I wouldn't mind if I died in your arms
박재범,손을 잡아 따라와
박재범,맑은 날씨 보름달
박재범,가르쳐줘 오늘 밤
박재범,가나다라마바사
박재범,손을 잡아 따라와
박재범,맑은 날씨 보름달
박재범,가르쳐줘 오늘 밤
박재범,가나다라마바사
박재범,손을 잡아 따라와
박재범,맑은 날씨 보름달
박재범,가르쳐줘 오늘 밤
박재범,가나다라마바사
박재범,손을 잡아 따라와
박재범,맑은 날씨 보름달
박재범,가르쳐줘 오늘 밤
박재범,가나다라마바사
박재범,Baby 우리 둘 위한 곳이야
박재범,Girl we outside
박재범,마치 꿈같은 기분이 들어 baby
박재범,다른 커플 모두 우리 보고 say what
박재범,시선 끌어 우리 너무 famous
박재범,아직 하늘 위로 yeah we goin' way up
박재범,If you see us ballin' ain't a lay up
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,Baby I wanna love you down down
박재범,Girl 원래 알고 있었잖아 yeah
박재범,시선 고정 난 너만 바라봐 yeah
박재범,난 너만 바라봐
박재범,Baby 솔직하게 네 모든 게 완벽해
박재범,내가 부족해도 can you love me with all you got
박재범,I really wanna take you round the world let's go up
박재범,이 좋은 느낌 sip WONSOJU bottles pour up
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,달콤한 건 잘 못 참지
박재범,진실의 미간 난 다 봤지 uh
박재범,덕분에 난 매일이 white day
박재범,White gold 위에 뿌린 설탕들
박재범,이거 다 니꺼야 어
박재범,지금 잡아 now or never
박재범,입맛만 배려
박재범,거울 봐 you're so much better
박재범,I'll make you sexy forever
박재범,어 못 믿겠니
박재범,얼마나 더 보여줘야 알지 yeah
박재범,난 저 형처럼 복근은 없지만
박재범,상관없단 걸 네가 제일 잘 알아 you know
박재범,Oh
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,You're sweet like candy
박재범,달콤한 flavor
박재범,Lend me some sugar baby
박재범,I am your neighbor
박재범,쉽다고 말하면 그건 거짓말이지
박재범,다툰 만큼 서로를 더 아끼게 됐지
박재범,옆에 있을 때는 항상 난 모르지
박재범,없을 때는 또 네가 너무 보고 싶지
박재범,수많은 실수를 통해서
박재범,너 없이 의미 없단 걸 깨달았지
박재범,이제 영원히
박재범,It's just you and me
박재범,I don't never wanna let u go no no
박재범,너를 안아줄 때 몸이 떨려
박재범,내 시간이 멈춰버려 my baby
박재범,백 년이 지나도 약속해
박재범,Please love me the same the same the same
박재범,365일 Everyday
박재범,Girl 네 사랑이 필요해
박재범,너 하나만으로 충분해
박재범,왜냐면
박재범,인기는 언젠가는 떨어지게 돼
박재범,번 돈도 어디선가는 쓰게 돼 있어
박재범,날 찾던 사람들도 떠나겠지
박재범,하지만 baby 넌
박재범,내 곁에 있어 주길
박재범,내 곁에 있어 주길
박재범,변하지 않고 영원히 내 곁에 있어 주길
박재범,Baby 난 네 덕분에 사람이 됐지
박재범,네가 아니었다면
박재범,생각조차 하기 싫어 my baby
박재범,네가 날 멋있게 만들어 baby
박재범,신이 우릴 허락 안 해도
박재범,나는 끝까지 널 사랑할래
박재범,네가 없는 것보다 차라리 죽는 게 더 나아
박재범,모든 게 무의미해져
박재범,I don't never wanna let u go no no
박재범,세상이 돌고 해가 떠도
박재범,내 시간이 멈춰버려 my baby
박재범,백 년이 지나도 약속해
박재범,Please love me the same the same the same
박재범,365일 Everyday
박재범,Girl 네 사랑이 필요해
박재범,너 하나만으로 충분해
박재범,왜냐면
박재범,인기는 언젠가는 떨어지게 돼
박재범,번 돈도 어디선가는 쓰게 돼 있어
박재범,날 찾던 사람들도 떠나겠지
박재범,하지만 baby 넌
박재범,내 곁에 있어 주길
박재범,내 곁에 있어 주길
박재범,변하지 않고 영원히 내 곁에 있어 주길
